seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	10015	10360	346	*	X001	100287102	11874	14409	2536	+	1513	upstream	1513	DDX11L1
chr1	1168095	1168111	17	*	X002	51150	1152288	1167447	15160	-	647	upstream	647	SDF4
chr1	207627411	207627432	22	*	X013	1380	207627645	207663240	35596	+	212	upstream	212	CR2
chr1	247170910	247171102	193	*	X018	57116	247108849	247171395	62547	-	0	inside	292	ZNF695
chr3	75834847	75834909	63	*	X050	100131827	75758794	75834670	75877	-	176	upstream	176	ZNF717
chr3	107810626	107810790	165	*	X051	961	107761941	107809935	47995	-	690	upstream	690	CD47
chr3	127347676	127347696	21	*	X052	50512	127348002	127391653	43652	+	305	upstream	305	PODXL2
chr3	148804703	148804717	15	*	X053	6596	148747904	148804341	56438	-	361	upstream	361	HLTF
chr3	160167968	160168046	79	*	X054	286827	160153291	160167626	14336	-	341	upstream	341	TRIM59
chr3	160167968	160168046	79	*	X054	57560	159945241	160167626	222386	-	341	upstream	341	IFT80
chr3	160168062	160168097	36	*	X055	286827	160153291	160167626	14336	-	435	upstream	435	TRIM59
chr3	160168062	160168097	36	*	X055	57560	159945241	160167626	222386	-	435	upstream	435	IFT80
chr3	170626625	170626929	305	*	X056	56648	170606204	170626426	20223	-	198	upstream	198	EIF5A2
chr5	137688070	137688164	95	*	X075	51780	137688285	137772716	84432	+	120	upstream	120	KDM3B
chr5	149829836	149829846	11	*	X077	6208	149823792	149829319	5528	-	516	upstream	516	RPS14
chr7	56516104	56516160	57	*	X085	650226	56491397	56516068	24672	-	35	upstream	35	LOC650226
chr7	56516214	56516308	95	*	X086	650226	56491397	56516068	24672	-	145	upstream	145	LOC650226
chr7	130132207	130132229	23	*	X093	317751	130126898	130131013	4116	-	1193	upstream	1193	MESTIT1
chr7	130132247	130132369	123	*	X094	317751	130126898	130131013	4116	-	1233	upstream	1233	MESTIT1
chr8	11059178	11059462	285	*	X107	286046	10753657	11058875	305219	-	302	upstream	302	XKR6
chr8	67874640	67874888	249	*	X109	100129654	67858736	67874825	16090	-	0	overlapStart	0	TCF24
chr8	71581818	71581821	4	*	X110	389668	71581600	71648177	66578	+	0	inside	217	XKR9
chr8	71581818	71581821	4	*	X110	51110	71549501	71581447	31947	-	370	upstream	370	LACTB2
chr8	145912522	145912536	15	*	X116	80728	145754563	145911194	156632	-	1327	upstream	1327	ARHGAP39
chr8	145912551	145912725	175	*	X117	80728	145754563	145911194	156632	-	1356	upstream	1356	ARHGAP39
chr8	145912980	145913385	406	*	X118	80728	145754563	145911194	156632	-	1785	upstream	1785	ARHGAP39
chr9	37119979	37120025	47	*	X119	84186	37120469	37358145	237677	+	443	upstream	443	ZCCHC7
chr9	115774408	115774558	151	*	X124	169834	115759400	115774472	15073	-	0	overlapStart	0	ZNF883
chr9	127177973	127178026	54	*	X125	5695	127115744	127177752	62009	-	220	upstream	220	PSMB7
chr10	124714129	124714223	95	*	X134	80007	124690419	124713919	23501	-	209	upstream	209	C10orf88
chr12	56882423	56882458	36	*	X160	27165	56864736	56882181	17446	-	241	upstream	241	GLS2
chr12	56882555	56882587	33	*	X161	27165	56864736	56882181	17446	-	373	upstream	373	GLS2
chr15	49714365	49714427	63	*	X170	2252	49715375	49779523	64149	+	947	upstream	947	FGF7
chr16	29984622	29984736	115	*	X173	9344	29985188	30003582	18395	+	451	upstream	451	TAOK2
chr17	57642632	57642691	60	*	X182	79665	57642886	57685713	42828	+	194	upstream	194	DHX40
chr19	3869165	3869178	14	*	X191	23217	3804022	3869027	65006	-	137	upstream	137	ZFR2
chr19	9879207	9879211	5	*	X193	162993	9862669	9879410	16742	-	0	inside	198	ZNF846
chr19	35597016	35597084	69	*	X199	100128675	35549963	35597208	47246	-	0	inside	123	HPN-AS1
chr20	13975675	13975819	145	*	X210	140733	13976146	16033841	2057696	+	326	upstream	326	MACROD2
chr20	13975675	13975819	145	*	X210	80343	13830044	13975979	145936	-	0	inside	159	SEL1L2
chr22	42485850	42485936	87	*	X220	100132273	42486937	42532702	45766	+	1000	upstream	1000	NDUFA6-DT
